attention-is-all-you-need_5e7038cc_chunk_0000	None	[1]	Attention Is All You Need  Ashish Vaswani∗ Noam Shazeer∗ Niki Parmar∗ Jakob Uszkoreit∗ Google Brain Google Brain Google Research Google Research avaswani@google.com noam@google.com
attention-is-all-you-need_5e7038cc_chunk_0001	None	[1]	Llion Jones∗ Aidan N. Gomez∗† Łukasz Kaiser∗ Google Research University of Toronto Google Brain llion@google.com aidan@cs.toronto.edu lukaszkaiser@google.com  Illia Polosukhin∗‡ il
attention-is-all-you-need_5e7038cc_chunk_0002	None	[1]	The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also con
attention-is-all-you-need_5e7038cc_chunk_0003	None	[1]	We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machin
attention-is-all-you-need_5e7038cc_chunk_0004	None	[1]	4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translat
attention-is-all-you-need_5e7038cc_chunk_0005	1 Introduction	[1]	1 Introduction  Recurrent neural networks, long short-term memory [12] and gated recurrent [7] neural networks in particular, have been ﬁrmly established as state of the art approa
attention-is-all-you-need_5e7038cc_chunk_0006	1 Introduction	[1]	Numerous efforts have since continued to push the boundaries of recurrent language models and encoder-decoder architectures [31, 21, 13]. ∗Equal contribution. Listing order is rand
attention-is-all-you-need_5e7038cc_chunk_0007	1 Introduction	[1]	Ashish, with Illia, designed and implemented the ﬁrst Transformer models and has been crucially involved in every aspect of this work. Noam proposed scaled dot-product attention, m
attention-is-all-you-need_5e7038cc_chunk_0008	1 Introduction	[1]	Noam proposed scaled dot-product attention, multi-head attention and the parameter-free position representation and became the other person involved in nearly every detail. Niki de
attention-is-all-you-need_5e7038cc_chunk_0009	1 Introduction	[1]	Llion also experimented with novel model variants, was responsible for our initial codebase, and efﬁcient inference and visualizations. Lukasz and Aidan spent countless long days d
attention-is-all-you-need_5e7038cc_chunk_0010	1 Introduction	[1, 2]	‡Work performed while at Google Research.  31st Conference on Neural Information Processing Systems (NIPS 2017), Long Beach, CA, USA.  Recurrent models typically factor computation
attention-is-all-you-need_5e7038cc_chunk_0011	1 Introduction	[2]	Aligning the positions to steps in computation time, they generate a sequence of hidden states ht, as a function of the previous hidden state ht−1 and the input for position t. Thi
attention-is-all-you-need_5e7038cc_chunk_0012	1 Introduction	[2]	This inherently sequential nature precludes parallelization within training examples, which becomes critical at longer sequence lengths, as memory constraints limit batching across
attention-is-all-you-need_5e7038cc_chunk_0013	1 Introduction	[2]	Recent work has achieved signiﬁcant improvements in computational efﬁciency through factorization tricks [18] and conditional computation [26], while also improving model performan
attention-is-all-you-need_5e7038cc_chunk_0014	1 Introduction	[2]	Attention mechanisms have become an integral part of compelling sequence modeling and transduc-tion models in various tasks, allowing modeling of dependencies without regard to the
attention-is-all-you-need_5e7038cc_chunk_0015	1 Introduction	[2]	In this work we propose the Transformer, a model architecture eschewing recurrence and instead relying entirely on an attention mechanism to draw global dependencies between input 
attention-is-all-you-need_5e7038cc_chunk_0016	2 Background	[2]	2 Background  The goal of reducing sequential computation also forms the foundation of the Extended Neural GPU [20], ByteNet [15] and ConvS2S [8], all of which use convolutional ne
attention-is-all-you-need_5e7038cc_chunk_0017	2 Background	[2]	In these models, the number of operations required to relate signals from two arbitrary input or output positions grows in the distance between positions, linearly for ConvS2S and 
attention-is-all-you-need_5e7038cc_chunk_0018	2 Background	[2]	In the Transformer this is reduced to a constant number of operations, albeit at the cost of reduced effective resolution due to averaging attention-weighted positions, an effect w
attention-is-all-you-need_5e7038cc_chunk_0019	2 Background	[2]	Self-attention, sometimes called intra-attention is an attention mechanism relating different positions of a single sequence in order to compute a representation of the sequence. S
attention-is-all-you-need_5e7038cc_chunk_0020	2 Background	[2]	End-to-end memory networks are based on a recurrent attention mechanism instead of sequence-aligned recurrence and have been shown to perform well on simple-language question answe
attention-is-all-you-need_5e7038cc_chunk_0021	2 Background	[2]	To the best of our knowledge, however, the Transformer is the ﬁrst transduction model relying entirely on self-attention to compute representations of its input and output without 
attention-is-all-you-need_5e7038cc_chunk_0022	3 Model Architecture	[2]	3 Model Architecture  Most competitive neural sequence transduction models have an encoder-decoder structure [5, 2, 29]. Here, the encoder maps an input sequence of symbol represen
attention-is-all-you-need_5e7038cc_chunk_0023	3 Model Architecture	[2]	Most competitive neural sequence transduction models have an encoder-decoder structure [5, 2, 29]. Here, the encoder maps an input sequence of symbol representations (x1, ..., xn) 
attention-is-all-you-need_5e7038cc_chunk_0024	3 Model Architecture	[2]	The Transformer follows this overall architecture using stacked self-attention and point-wise, fully connected layers for both the encoder and decoder, shown in the left and right 
